amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
parking,-9335961.859115103,4290820.599584603,35.9287405,-83.8663723,3,-1
parking,-9336868.645423207,4291639.482595493,35.9346969,-83.8745181,3,-1
fuel,-9352123.367503809,4292624.893855177,35.941864,-84.0115536,0,-1
bar,-9341813.835690515,4295944.224977411,35.9660014,-83.9189415,3,0
restaurant,-9341744.806474272,4295890.47479654,35.9656106,-83.9183214,3,0
restaurant,-9367079.08543214,4287205.226933356,35.9024376,-84.1459031,2,7
pub,-9341895.154578539,4295910.170328354,35.9657538,-83.919672,3,0
restaurant,-9341946.606447184,4295900.638896837,35.9656845,-83.9201342,3,0
pub,-9341768.550921658,4296528.768495837,35.9702513,-83.9185347,3,0
restaurant,-9342969.643699521,4295060.502892943,35.9595759,-83.9293243,3,0
restaurant,-9333598.991603525,4287967.707742919,35.9079856,-83.8451463,3,6
place_of_worship,-9340206.827521421,4291698.848650601,35.9351287,-83.9045055,3,2
bicycle_repair_station,-9343183.377121845,4294566.004736922,35.9559802,-83.9312443,3,0
bicycle_repair_station,-9343355.187623937,4294139.324431437,35.9528775,-83.9327877,3,0
restaurant,-9359681.682629945,4280986.668072648,35.8571753,-84.0794511,2,-1
restaurant,-9359194.025336627,4281325.419968783,35.8596416,-84.0750704,2,10
fast_food,-9359347.41246299,4281324.540900635,35.8596352,-84.0764483,2,10
ice_cream,-9367672.240206882,4287258.260774015,35.9028235,-84.1512315,2,7
restaurant,-9367737.484560438,4287242.401443435,35.9027081,-84.1518176,2,7
restaurant,-9368547.734606123,4286980.945708683,35.9008056,-84.1590962,2,7
restaurant,-9367188.790790318,4287350.916008123,35.9034977,-84.1468886,2,7
restaurant,-9367900.567614447,4287082.764963534,35.9015465,-84.1532826,2,7
fast_food,-9367348.189169183,4287154.776997387,35.9020705,-84.1483205,2,7
restaurant,-9367437.166838173,4287211.218823619,35.9024812,-84.1491198,2,7
restaurant,-9341847.643419867,4295477.316985645,35.9626066,-83.9192452,3,0
restaurant,-9341569.199977545,4295441.723432894,35.9623478,-83.9167439,3,0
restaurant,-9354536.484633531,4290414.439232453,35.925786,-84.033231,0,-1
fast_food,-9353456.28482267,4291197.368293323,35.9314811,-84.0235274,0,-1
fast_food,-9353549.114146043,4291167.411637328,35.9312632,-84.0243613,0,-1
restaurant,-9354400.2295768,4290911.745454804,35.9294035,-84.032007,0,-1
restaurant,-9354382.307138782,4290918.921677947,35.9294557,-84.031846,0,-1
post_box,-9359983.235998556,4290205.35058346,35.924265,-84.08216,2,-1
nursing_home,-9360278.343968648,4290101.838756376,35.923512,-84.084811,2,-1
restaurant,-9341694.334217146,4295819.010024341,35.965091,-83.917868,3,0
fast_food,-9361065.09446983,4289773.068086077,35.9211203,-84.0918785,2,3
clinic,-9360881.172407141,4289851.297476268,35.9216894,-84.0902263,2,3
car_rental,-9362665.10064295,4288483.003524216,35.9117348,-84.1062516,2,3
bank,-9341740.086527862,4295929.1782008875,35.965892,-83.918279,3,0
cafe,-9341759.511779007,4295918.257610141,35.9658126,-83.9184535,3,0
training,-9341694.456668587,4295772.921272309,35.9647559,-83.9178691,3,0
restaurant,-9341893.507050075,4295791.03491249,35.9648876,-83.9196572,3,0
school,-9339891.737702731,4293293.32938854,35.9467253,-83.901675,3,-1
fuel,-9332839.280606657,4287543.883855151,35.9049018,-83.8383217,3,6
restaurant,-9332923.89455161,4287429.0317727635,35.9040661,-83.8390818,3,6
dentist,-9332908.343218746,4287398.288397314,35.9038424,-83.8389421,3,6
restaurant,-9348480.715466326,4293388.676207251,35.9474187,-83.9788311,0,5
restaurant,-9348564.316403912,4301329.1190335825,36.0051434,-83.9795821,4,8
fast_food,-9348505.194622353,4301376.304725072,36.0054863,-83.979051,4,8
restaurant,-9347294.528368281,4302434.961203238,36.0131792,-83.9681754,4,8
restaurant,-9347465.804536814,4302061.958408942,36.0104688,-83.969714,4,8
